iter	Passed	Remaining
0	27	27084
1	50	25000
2	71	23741
3	93	23319
4	118	23512
5	139	23082
6	162	23096
7	185	22946
8	208	22943
9	230	22860
10	255	22993
11	279	23038
12	304	23104
13	325	22951
14	348	22872
15	369	22746
16	390	22599
17	412	22512
18	435	22471
19	458	22459
20	479	22335
21	500	22262
22	523	22230
23	545	22180
24	566	22081
25	589	22090
26	612	22063
27	633	21983
28	655	21945
29	677	21900
30	698	21833
31	722	21863
32	743	21790
33	766	21764
34	787	21705
35	810	21701
36	834	21709
37	856	21670
38	879	21662
39	900	21614
40	924	21614
41	945	21556
42	966	21511
43	988	21468
44	1014	21527
45	1034	21456
46	1055	21393
47	1076	21359
48	1099	21333
49	1121	21311
50	1145	21312
51	1165	21252
52	1188	21237
53	1208	21176
54	1231	21151
55	1253	21126
56	1274	21081
57	1296	21053
58	1317	21012
59	1339	20985
60	1360	20944
61	1381	20898
62	1403	20870
63	1427	20872
64	1448	20842
65	1470	20807
66	1491	20763
67	1514	20752
68	1535	20717
69	1556	20676
70	1579	20667
71	1601	20636
72	1623	20613
73	1644	20572
74	1666	20559
75	1686	20508
76	1709	20494
77	1732	20480
78	1754	20454
79	1776	20430
80	1797	20398
81	1818	20357
82	1844	20374
83	1863	20324
84	1883	20278
85	1905	20255
86	1927	20226
87	1949	20201
88	1972	20187
89	1998	20210
90	2021	20190
91	2043	20168
92	2064	20136
93	2085	20102
94	2108	20084
95	2130	20062
96	2153	20042
97	2174	20015
98	2196	19991
99	2217	19961
100	2242	19959
101	2265	19943
102	2285	19903
103	2306	19872
104	2328	19850
105	2350	19820
106	2371	19792
107	2391	19755
108	2417	19764
109	2439	19736
110	2462	19724
111	2495	19788
112	2518	19772
113	2541	19754
114	2564	19732
115	2586	19707
116	2605	19661
117	2626	19628
118	2647	19602
119	2668	19571
120	2690	19548
121	2712	19522
122	2734	19499
123	2757	19477
124	2778	19447
125	2800	19423
126	2823	19411
127	2842	19366
128	2864	19342
129	2888	19331
130	2912	19319
131	2933	19288
132	2960	19300
133	2983	19283
134	3006	19265
135	3027	19232
136	3047	19199
137	3069	19171
138	3090	19140
139	3113	19123
140	3133	19090
141	3154	19063
142	3177	19041
143	3198	19012
144	3219	18986
145	3245	18981
146	3266	18956
147	3287	18926
148	3309	18899
